,income_type,children,days_employed,dob_years,education_id,family_status_id,gender,debt,total_income,purpose,total_income_category,purpose_category
25,сотрудник,1,3003.941352362289,54,1,3,M,0,171459,строительство недвижимости,C,операции с недвижимостью
26,сотрудник,0,3580.1395709205076,51,1,0,M,0,95632,строительство жилой недвижимости,C,операции с недвижимостью
27,сотрудник,1,6128.370611227923,45,1,0,F,0,97576,сделка с подержанным автомобилем,C,операции с автомобилем
28,компаньон,0,2037.5641844491226,25,1,0,M,0,123594,ремонт жилью,C,операции с недвижимостью
29,сотрудник,0,1721.861309123768,47,1,4,F,0,77183,покупка недвижимости,C,операции с недвижимостью
30,компаньон,0,1005.8890266730141,56,1,0,M,0,284776,покупка жилья,B,операции с недвижимостью
31,пенсионер,0,340324.249097748,52,1,0,F,0,142915,ремонт жилью,C,операции с недвижимостью
32,сотрудник,1,204.08561176218998,25,0,0,F,0,118406,на покупку своего автомобиля,C,операции с автомобилем
33,сотрудник,0,1496.596677291117,32,0,0,M,0,257982,покупка жилья для сдачи,B,операции с недвижимостью
34,компаньон,0,518.9743182667706,40,0,1,F,0,230141,на проведение свадьбы,B,проведение свадьбы
35,компаньон,0,12436.765865248086,52,1,1,M,0,118265,сыграть свадьбу,C,проведение свадьбы
36,сотрудник,0,1347.5312644482453,51,0,1,F,0,350161,на проведение свадьбы,B,проведение свадьбы
37,сотрудник,0,2194.220566878695,61,1,0,F,0,142594,свой автомобиль,C,операции с автомобилем
38,компаньон,0,3163.490485176865,42,1,0,F,0,189148,на покупку автомобиля,C,операции с автомобилем
39,компаньон,1,1460.0381132144394,31,1,1,F,0,97700,сыграть свадьбу,C,проведение свадьбы
40,пенсионер,0,2194.220566878695,58,1,1,F,0,118514,свой автомобиль,C,операции с автомобилем
41,сотрудник,0,4182.680549357544,40,1,0,F,0,181027,строительство жилой недвижимости,C,операции с недвижимостью
42,компаньон,0,2424.957135775948,25,0,4,M,0,216826,на покупку своего автомобиля,B,операции с автомобилем
43,сотрудник,0,642.6125895336223,50,1,1,M,0,132983,недвижимость,C,операции с недвижимостью
44,пенсионер,0,339943.7296423265,62,0,2,F,0,249382,операции с недвижимостью,B,операции с недвижимостью
45,сотрудник,0,2258.3014552688396,50,1,0,F,0,146768,операции с коммерческой недвижимостью,C,операции с недвижимостью
46,сотрудник,0,1248.594463054839,36,1,4,M,0,121301,покупка жилой недвижимости,C,операции с недвижимостью
47,сотрудник,1,2194.220566878695,35,1,0,F,0,142594,заняться образованием,C,получение образования
48,пенсионер,0,396568.887158519,70,2,1,F,0,45799,получение дополнительного образования,D,получение образования
49,сотрудник,1,272.9902110191501,50,1,4,F,0,153522,на покупку автомобиля,C,операции с автомобилем
50,сотрудник,0,7910.122419683507,55,0,1,M,0,444644,недвижимость,B,операции с недвижимостью
51,пенсионер,0,384760.8529603622,59,1,0,F,0,66169,свой автомобиль,C,операции с автомобилем
52,сотрудник,0,2270.156400205681,23,1,0,F,0,99481,покупка жилья для семьи,C,операции с недвижимостью
53,сотрудник,0,8086.271536392347,42,1,1,F,0,64519,покупка жилья для семьи,C,операции с недвижимостью
54,госслужащий,3,6806.24179923859,39,1,0,F,0,73222,строительство недвижимости,C,операции с недвижимостью
55,компаньон,1,3546.224285680988,45,1,0,F,0,233117,покупка жилья для сдачи,B,операции с недвижимостью
56,компаньон,2,2194.220566878695,28,1,3,M,1,172357,автомобили,C,операции с автомобилем
57,сотрудник,0,2937.146682271088,35,1,0,M,0,327788,профильное образование,B,получение образования
58,сотрудник,1,237.90697495998157,34,1,1,F,1,130876,строительство недвижимости,C,операции с недвижимостью
59,сотрудник,0,6046.239688638723,41,1,0,M,0,102141,заняться высшим образованием,C,получение образования
60,госслужащий,0,1034.3600169378399,49,1,0,F,0,154158,свой автомобиль,C,операции с автомобилем
61,пенсионер,0,393246.7210757576,57,1,0,F,0,147247,покупка недвижимости,C,операции с недвижимостью
62,сотрудник,2,2409.544290648097,30,1,0,M,0,138071,покупка коммерческой недвижимости,C,операции с недвижимостью
63,сотрудник,0,9679.596371579879,49,1,0,F,0,110443,свой автомобиль,C,операции с автомобилем
64,сотрудник,0,1350.29208801692,24,2,4,F,0,134925,профильное образование,C,получение образования
65,госслужащий,2,4220.30155050411,34,1,3,F,0,118677,операции с недвижимостью,C,операции с недвижимостью
66,компаньон,0,328.7760480913056,52,1,0,F,0,42862,получение дополнительного образования,D,получение образования
67,компаньон,0,2205.382993225573,35,1,1,M,0,211558,свадьба,B,проведение свадьбы
68,пенсионер,0,330138.0675355361,59,0,4,F,0,49263,покупка жилой недвижимости,D,операции с недвижимостью
69,сотрудник,1,1547.8040604851815,20,1,0,F,0,203114,ремонт жилью,B,операции с недвижимостью
70,компаньон,0,1203.369528770489,23,1,0,M,0,115684,покупка своего жилья,C,операции с недвижимостью
71,компаньон,1,152.5693821308054,31,0,0,M,0,163930,на покупку своего автомобиля,C,операции с автомобилем
72,компаньон,1,4628.288951136428,40,0,0,M,0,415159,покупка жилья,B,операции с недвижимостью
73,компаньон,0,4104.676164838529,56,1,0,M,0,192140,покупка недвижимости,C,операции с недвижимостью
74,пенсионер,1,2194.220566878695,51,1,1,F,0,118514,автомобили,C,операции с автомобилем
75,компаньон,0,3259.641173976365,60,1,2,F,0,152140,высшее образование,C,получение образования
76,сотрудник,1,2402.36124881795,37,0,0,F,0,391868,образование,B,получение образования
77,компаньон,2,1489.2815578991845,25,0,1,M,0,450351,на проведение свадьбы,B,проведение свадьбы
78,компаньон,1,935.6120779908156,50,1,0,F,1,74906,покупка недвижимости,C,операции с недвижимостью
79,пенсионер,0,372795.0183755244,58,1,0,F,0,246577,операции с жильем,B,операции с недвижимостью
80,сотрудник,0,2563.944837094589,54,1,0,F,0,100188,операции с недвижимостью,C,операции с недвижимостью
81,сотрудник,2,10472.515618544832,56,1,0,M,0,145922,на покупку подержанного автомобиля,C,операции с автомобилем
82,сотрудник,0,228.38648374274044,21,1,4,M,1,141093,высшее образование,C,получение образования
83,сотрудник,0,2194.220566878695,40,1,4,F,0,142594,автомобили,C,операции с автомобилем
84,компаньон,0,942.0924515107686,25,0,4,M,0,88450,операции с недвижимостью,C,операции с недвижимостью
85,сотрудник,0,2362.0220405927475,49,1,4,F,1,177166,операции с жильем,C,операции с недвижимостью
86,пенсионер,0,2194.220566878695,54,1,0,F,0,118514,операции с жильем,C,операции с недвижимостью
87,сотрудник,0,5160.625652483821,49,1,2,F,0,183066,высшее образование,C,получение образования
88,сотрудник,0,2247.6420279079884,52,1,1,M,0,132814,сыграть свадьбу,C,проведение свадьбы
89,компаньон,0,2987.3852971407973,54,1,0,F,0,43040,покупка жилья,D,операции с недвижимостью
90,компаньон,2,2981.1447675285826,27,2,0,M,0,286010,получение образования,B,получение образования
91,госслужащий,1,879.4778948573744,34,1,0,F,0,44484,на покупку подержанного автомобиля,D,операции с автомобилем
92,компаньон,0,696.7273603595889,37,0,3,F,0,102715,покупка жилой недвижимости,C,операции с недвижимостью
93,компаньон,1,1544.7612574000766,46,0,3,F,0,128039,образование,C,получение образования
94,сотрудник,1,683.8259228175202,35,1,0,M,0,156145,свой автомобиль,C,операции с автомобилем
95,компаньон,0,162.72750863659994,41,1,1,F,0,105231,покупка жилья для семьи,C,операции с недвижимостью
96,госслужащий,0,598.1865469603428,47,0,0,F,0,172277,операции с жильем,C,операции с недвижимостью
97,компаньон,0,3288.307489047265,44,2,4,M,0,216611,покупка жилой недвижимости,B,операции с недвижимостью
98,компаньон,0,2935.2679954133323,47,1,0,F,0,133183,на покупку автомобиля,C,операции с автомобилем
99,сотрудник,1,462.8779795178237,41,0,0,F,0,85597,на покупку автомобиля,C,операции с автомобилем
100,компаньон,0,3147.770837102845,53,1,2,F,0,266602,автомобили,B,операции с автомобилем
101,сотрудник,1,4422.1182880955375,36,1,0,M,0,213766,недвижимость,B,операции с недвижимостью
102,сотрудник,1,2194.220566878695,40,1,0,F,0,142594,операции с недвижимостью,C,операции с недвижимостью
103,сотрудник,1,1426.8335015326227,35,1,1,F,0,331595,покупка недвижимости,B,операции с недвижимостью
104,сотрудник,1,2747.8422268444865,25,1,0,F,0,291686,операции с жильем,B,операции с недвижимостью
105,компаньон,1,1334.5744571924724,48,1,1,F,0,204459,строительство недвижимости,B,операции с недвижимостью
106,компаньон,0,1827.627970294515,39,0,1,F,0,145801,заняться высшим образованием,C,получение образования
107,сотрудник,1,1241.0447467336066,35,1,0,M,0,175554,на покупку своего автомобиля,C,операции с автомобилем
108,сотрудник,0,2158.8499867917585,44,0,4,M,0,218312,операции с жильем,B,операции с недвижимостью
109,компаньон,0,2194.220566878695,60,1,0,M,0,172357,покупка своего жилья,C,операции с недвижимостью
110,пенсионер,0,2194.220566878695,58,1,0,M,0,118514,дополнительное образование,C,получение образования
111,пенсионер,0,354399.0179102493,59,1,0,M,0,117513,заняться высшим образованием,C,получение образования
112,сотрудник,0,5056.171433255235,48,0,0,F,0,168667,покупка недвижимости,C,операции с недвижимостью
113,компаньон,0,3933.458739806216,54,1,0,F,0,313811,сделка с автомобилем,B,операции с автомобилем
114,компаньон,1,4000.099155416497,28,0,1,F,0,214678,образование,B,получение образования
115,сотрудник,0,223.2757393067604,31,1,0,M,0,148175,операции с жильем,C,операции с недвижимостью
116,госслужащий,0,1500.359464445042,47,0,1,F,0,162007,свадьба,C,проведение свадьбы
117,компаньон,0,422.69612974824616,29,0,4,M,0,257903,сделка с подержанным автомобилем,B,операции с автомобилем
118,сотрудник,0,3434.08972967953,54,1,4,F,0,88607,покупка коммерческой недвижимости,C,операции с недвижимостью
119,сотрудник,1,1702.3573431013062,49,1,0,M,0,308147,строительство жилой недвижимости,B,операции с недвижимостью
120,сотрудник,0,338.3974625686715,39,1,3,F,0,331555,на покупку автомобиля,B,операции с автомобилем
121,компаньон,0,2828.701927984344,57,1,3,M,0,78783,на покупку подержанного автомобиля,C,операции с автомобилем
122,пенсионер,0,2194.220566878695,66,1,1,F,0,118514,свадьба,C,проведение свадьбы
123,компаньон,0,776.6643842174852,34,1,0,M,1,149821,покупка жилой недвижимости,C,операции с недвижимостью
124,пенсионер,0,397644.26726191095,60,1,4,F,0,106106,покупка жилья,C,операции с недвижимостью
125,пенсионер,0,338070.1019105005,53,2,4,F,0,111701,операции со своей недвижимостью,C,операции с недвижимостью
126,пенсионер,0,365658.02869952674,70,1,0,F,0,85593,профильное образование,C,получение образования
127,госслужащий,3,1052.904120619681,29,1,0,M,0,180554,профильное образование,C,получение образования
128,компаньон,1,2214.0895559954515,28,0,0,M,0,285808,заняться высшим образованием,B,получение образования
129,пенсионер,0,369912.6385222413,58,1,0,F,0,291394,автомобиль,B,операции с автомобилем
130,сотрудник,1,2188.846984754641,28,1,4,F,0,207149,операции с коммерческой недвижимостью,B,операции с недвижимостью
131,компаньон,0,3647.0247562002883,58,1,0,F,0,124497,ремонт жилью,C,операции с недвижимостью
132,пенсионер,0,389358.4088143822,51,0,1,F,0,87536,на проведение свадьбы,C,проведение свадьбы
133,компаньон,1,1575.1740548546145,32,1,1,M,0,165215,свадьба,C,проведение свадьбы
134,сотрудник,0,2144.8789501003816,55,1,1,F,0,201074,свадьба,B,проведение свадьбы
135,сотрудник,2,2205.1859065653307,36,0,1,F,0,334961,недвижимость,B,операции с недвижимостью
136,сотрудник,0,1283.4955756821041,35,1,4,F,0,114098,недвижимость,C,операции с недвижимостью
137,сотрудник,1,252.5181548885309,55,0,0,M,0,140530,получение дополнительного образования,C,получение образования
138,сотрудник,1,2560.879963699005,33,0,0,F,0,148888,заняться образованием,C,получение образования
139,сотрудник,1,1500.4232262372147,45,1,3,M,0,160058,профильное образование,C,получение образования
140,пенсионер,0,391928.7506069565,66,1,3,F,0,71142,свой автомобиль,C,операции с автомобилем
141,сотрудник,0,10978.678002948978,51,1,0,M,0,158385,на покупку автомобиля,C,операции с автомобилем
142,сотрудник,1,1008.6493738639699,41,1,0,F,0,110847,профильное образование,C,получение образования
143,пенсионер,0,394579.2994571693,57,1,0,F,0,119256,свой автомобиль,C,операции с автомобилем
144,сотрудник,2,1472.5651229896946,33,0,0,F,0,290709,операции с недвижимостью,B,операции с недвижимостью
145,сотрудник,0,343.5962336492172,28,0,1,F,0,104661,недвижимость,C,операции с недвижимостью
146,сотрудник,1,665.7013367872713,26,0,0,F,0,134420,покупка своего жилья,C,операции с недвижимостью
147,сотрудник,2,1264.873863222299,27,1,0,F,1,122238,операции с жильем,C,операции с недвижимостью
148,сотрудник,0,7855.940192663142,53,1,0,F,0,83315,заняться высшим образованием,C,получение образования
149,сотрудник,1,2194.220566878695,49,1,1,F,0,142594,сыграть свадьбу,C,проведение свадьбы
150,пенсионер,0,333961.2668510319,63,1,1,M,0,80269,получение дополнительного образования,C,получение образования
151,пенсионер,0,2194.220566878695,57,1,0,M,0,118514,ремонт жилью,C,операции с недвижимостью
152,сотрудник,1,2604.4712884881706,39,1,4,F,0,147466,строительство жилой недвижимости,C,операции с недвижимостью
153,компаньон,0,2640.3998194411747,38,1,2,F,0,146099,заняться образованием,C,получение образования
154,сотрудник,0,2401.491285826363,46,1,0,F,1,135244,на покупку своего автомобиля,C,операции с автомобилем
155,госслужащий,0,509.3668162524565,45,0,0,F,0,177899,покупка жилья,C,операции с недвижимостью
156,сотрудник,2,2038.2033222003013,40,1,0,F,0,141970,покупка жилья для сдачи,C,операции с недвижимостью
157,пенсионер,0,362228.8165049068,62,1,1,F,0,76364,на проведение свадьбы,C,проведение свадьбы
158,сотрудник,0,5986.96555421931,46,0,3,F,0,131570,недвижимость,C,операции с недвижимостью
159,сотрудник,1,272.208614102014,28,1,4,M,0,93743,ремонт жилью,C,операции с недвижимостью
160,пенсионер,0,354577.924815178,62,1,1,F,0,172314,на проведение свадьбы,C,проведение свадьбы
161,сотрудник,0,4161.810517669079,31,1,4,M,0,161287,операции с недвижимостью,C,операции с недвижимостью
162,компаньон,0,1163.8131683322613,55,1,0,F,0,209322,высшее образование,B,получение образования
163,компаньон,0,254.6195980404506,36,1,1,M,0,81040,свадьба,C,проведение свадьбы
164,сотрудник,0,5213.362005732512,50,1,2,F,0,63540,строительство собственной недвижимости,C,операции с недвижимостью
165,сотрудник,2,2194.220566878695,34,1,0,M,1,142594,на покупку автомобиля,C,операции с автомобилем
166,компаньон,0,215.3767140852428,27,1,1,F,1,120371,получение высшего образования,C,получение образования
167,пенсионер,0,343823.54721527244,49,1,0,M,0,101968,операции с коммерческой недвижимостью,C,операции с недвижимостью
168,пенсионер,0,349693.88780782284,59,1,2,F,0,63387,образование,C,получение образования
169,сотрудник,0,10675.91148717778,50,1,0,M,0,375722,автомобили,B,операции с автомобилем
170,госслужащий,0,4942.033880421451,45,1,4,F,0,144921,профильное образование,C,получение образования
171,сотрудник,0,2194.220566878695,57,1,4,F,0,142594,операции с коммерческой недвижимостью,C,операции с недвижимостью
172,компаньон,1,3017.3507109559114,33,0,0,M,0,100754,операции со своей недвижимостью,C,операции с недвижимостью
173,госслужащий,0,4555.7027358165615,36,1,0,M,0,131049,на покупку своего автомобиля,C,операции с автомобилем
174,госслужащий,0,799.0718553995392,53,0,0,F,1,248178,покупка недвижимости,B,операции с недвижимостью
175,сотрудник,0,2194.220566878695,47,0,0,M,0,142594,покупка жилья для сдачи,C,операции с недвижимостью
176,компаньон,0,1561.8686207876856,57,0,4,F,0,266004,покупка своего жилья,B,операции с недвижимостью
177,компаньон,0,2194.220566878695,53,1,1,F,0,172357,операции с коммерческой недвижимостью,C,операции с недвижимостью
178,компаньон,1,861.7756012313553,49,0,0,M,0,215656,получение высшего образования,B,получение образования
179,компаньон,0,188.3639727754076,50,0,4,F,0,201879,получение дополнительного образования,B,получение образования
180,пенсионер,0,362924.1429330335,62,1,0,F,0,60053,операции с недвижимостью,C,операции с недвижимостью
181,компаньон,0,1787.914953631046,41,1,0,F,1,183291,на покупку автомобиля,C,операции с автомобилем
182,пенсионер,0,362071.13005847,64,1,0,M,0,108497,на покупку своего автомобиля,C,операции с автомобилем
183,госслужащий,0,1067.5788967261938,56,0,0,M,0,214706,покупка коммерческой недвижимости,B,операции с недвижимостью
184,сотрудник,0,5736.276152518989,36,1,0,F,0,165196,покупка жилой недвижимости,C,операции с недвижимостью
185,сотрудник,0,3963.590317480879,30,1,0,M,0,157205,дополнительное образование,C,получение образования
186,сотрудник,0,388.59287055535344,29,1,1,M,0,222650,заняться образованием,B,получение образования
187,пенсионер,0,339114.14420097444,53,1,0,F,0,68480,покупка недвижимости,C,операции с недвижимостью
188,сотрудник,0,4604.9008374125815,45,1,4,F,0,328869,операции с недвижимостью,B,операции с недвижимостью
189,сотрудник,0,4656.9265204634,58,1,0,F,0,149913,операции со своей недвижимостью,C,операции с недвижимостью
190,компаньон,0,2725.0972345925384,54,0,0,M,0,244625,на покупку своего автомобиля,B,операции с автомобилем
191,сотрудник,0,3933.578253847197,37,1,0,F,0,219783,покупка жилья,B,операции с недвижимостью
192,сотрудник,0,1901.7744494906174,57,0,1,M,0,135265,свадьба,C,проведение свадьбы
193,компаньон,0,2191.8081570672593,50,1,0,F,0,139721,на покупку своего автомобиля,C,операции с автомобилем
194,компаньон,0,2338.292922757453,49,0,0,M,0,240025,строительство собственной недвижимости,B,операции с недвижимостью
195,сотрудник,0,1005.9940211007432,57,1,0,M,0,133633,покупка жилья для семьи,C,операции с недвижимостью
196,сотрудник,0,2563.1873621156,46,1,0,M,0,144774,строительство жилой недвижимости,C,операции с недвижимостью
197,компаньон,1,263.13141479000654,37,1,4,F,0,171075,на покупку своего автомобиля,C,операции с автомобилем
198,сотрудник,0,708.1384928074866,49,0,0,M,0,280333,получение высшего образования,B,получение образования
199,пенсионер,0,356496.3108680165,53,1,0,F,0,106537,сделка с подержанным автомобилем,C,операции с автомобилем
200,пенсионер,0,2194.220566878695,62,2,0,F,0,118514,на покупку своего автомобиля,C,операции с автомобилем
201,сотрудник,0,3168.8527134108895,41,0,0,M,0,143147,покупка своего жилья,C,операции с недвижимостью
202,сотрудник,1,4878.408136989711,39,0,1,F,0,159931,свой автомобиль,C,операции с автомобилем
203,сотрудник,0,441.32259268395575,27,1,4,F,1,61309,покупка коммерческой недвижимости,C,операции с недвижимостью
204,сотрудник,0,1285.9528053186975,26,1,4,M,0,139227,жилье,C,операции с недвижимостью
205,сотрудник,0,2292.6871110606517,45,0,1,F,0,321377,строительство жилой недвижимости,B,операции с недвижимостью
206,сотрудник,0,1725.4086571190076,27,1,1,M,0,307941,жилье,B,операции с недвижимостью
207,компаньон,0,479.1908421138083,44,0,0,F,0,421422,заняться высшим образованием,B,получение образования
208,компаньон,0,1310.397524556474,54,1,4,F,0,115295,заняться образованием,C,получение образования
209,сотрудник,0,2194.220566878695,46,1,0,F,0,142594,заняться высшим образованием,C,получение образования
210,пенсионер,1,337722.63869021216,61,0,1,M,0,157310,на проведение свадьбы,C,проведение свадьбы
211,сотрудник,1,1608.2174684310944,36,1,4,F,0,64205,операции со своей недвижимостью,C,операции с недвижимостью
212,сотрудник,0,5564.205698128506,49,1,1,F,0,223338,автомобиль,B,операции с автомобилем
213,пенсионер,0,331558.55096866767,0,0,0,F,0,91791,покупка коммерческой недвижимости,C,операции с недвижимостью
214,сотрудник,0,4021.7763518672887,40,1,0,M,0,166472,строительство собственной недвижимости,C,операции с недвижимостью
215,сотрудник,0,114.3063690711128,48,0,1,F,0,142534,операции со своей недвижимостью,C,операции с недвижимостью
216,сотрудник,0,491.84158357431915,43,0,4,M,0,163828,сделка с автомобилем,C,операции с автомобилем
217,компаньон,0,228.85849068935605,21,0,1,F,0,258317,сыграть свадьбу,B,проведение свадьбы
218,пенсионер,0,345502.30713256216,61,1,2,F,0,276103,покупка коммерческой недвижимости,B,операции с недвижимостью
219,госслужащий,1,2194.220566878695,33,0,4,F,0,150447,строительство собственной недвижимости,C,операции с недвижимостью
220,компаньон,2,1202.6654087043194,32,1,0,F,0,134622,автомобили,C,операции с автомобилем
221,сотрудник,2,3135.664530706679,35,1,0,M,0,98169,операции с недвижимостью,C,операции с недвижимостью
222,компаньон,0,7837.124540163893,49,0,0,F,0,450291,сделка с автомобилем,B,операции с автомобилем
223,сотрудник,0,685.5659938226669,26,1,0,M,0,171504,покупка жилья для сдачи,C,операции с недвижимостью
224,сотрудник,1,1147.591637441718,39,0,0,F,0,87107,приобретение автомобиля,C,операции с автомобилем
225,пенсионер,0,361970.2205052443,67,1,2,F,0,139038,покупка своего жилья,C,операции с недвижимостью
226,пенсионер,0,334637.4644627627,61,1,0,F,0,181307,строительство жилой недвижимости,C,операции с недвижимостью
227,сотрудник,0,1607.1889953754633,61,1,1,F,0,318846,автомобиль,B,операции с автомобилем
228,сотрудник,0,816.3559350138811,49,1,1,F,0,132818,автомобили,C,операции с автомобилем
229,сотрудник,0,841.8138257523991,46,1,0,F,0,300767,операции с недвижимостью,B,операции с недвижимостью
230,пенсионер,0,369694.3769229028,60,1,0,F,0,66308,заняться образованием,C,получение образования
231,сотрудник,2,421.50372452113226,27,1,0,F,1,88136,жилье,C,операции с недвижимостью
232,сотрудник,1,1409.0017543868375,30,1,1,F,0,138501,профильное образование,C,получение образования
233,пенсионер,0,357066.60456349945,56,1,1,F,0,71200,на проведение свадьбы,C,проведение свадьбы
234,пенсионер,0,358384.98852697056,53,1,0,F,0,73366,покупка своего жилья,C,операции с недвижимостью
235,госслужащий,0,4518.341387527175,56,0,2,F,0,113461,высшее образование,C,получение образования
236,сотрудник,2,2194.220566878695,46,1,0,F,1,142594,операции со своей недвижимостью,C,операции с недвижимостью
237,пенсионер,0,364688.9171597581,68,1,0,F,0,83009,покупка жилья для семьи,C,операции с недвижимостью
238,сотрудник,0,2194.220566878695,57,1,0,M,1,142594,заняться высшим образованием,C,получение образования
239,сотрудник,0,1127.0797239264054,44,1,0,M,0,106392,покупка недвижимости,C,операции с недвижимостью
240,пенсионер,0,360739.7550290201,51,0,0,M,0,184394,операции со своей недвижимостью,C,операции с недвижимостью
241,компаньон,1,3076.974561668217,42,1,0,F,0,280751,покупка жилья для семьи,B,операции с недвижимостью
242,сотрудник,0,620.7999472539966,27,0,0,F,0,188718,покупка своего жилья,C,операции с недвижимостью
243,сотрудник,1,3397.208031978019,35,1,0,M,0,87565,покупка своего жилья,C,операции с недвижимостью
244,сотрудник,0,2050.159363197502,44,0,0,F,0,237537,покупка жилья для сдачи,B,операции с недвижимостью
245,сотрудник,0,1262.5697281284015,64,1,3,M,0,312093,приобретение автомобиля,B,операции с автомобилем
246,сотрудник,2,6540.615433291707,37,0,0,M,0,219157,заняться образованием,B,получение образования
247,компаньон,1,887.0787332521405,35,1,0,M,0,165704,строительство недвижимости,C,операции с недвижимостью
248,компаньон,1,2194.220566878695,40,1,4,F,0,172357,получение дополнительного образования,C,получение образования
249,компаньон,0,489.4849448342045,40,0,0,F,0,307027,жилье,B,операции с недвижимостью
250,компаньон,1,7616.1582887648765,47,1,0,F,0,95404,покупка недвижимости,C,операции с недвижимостью
251,сотрудник,1,429.8256944129645,44,1,0,F,0,204827,строительство собственной недвижимости,B,операции с недвижимостью
252,компаньон,0,5798.128221393173,48,1,0,F,0,81548,дополнительное образование,C,получение образования
253,компаньон,0,155.33018338172826,28,1,0,M,0,149372,образование,C,получение образования
254,пенсионер,0,363613.47776988655,55,1,2,F,0,66204,заняться высшим образованием,C,получение образования
255,компаньон,0,2701.7595236934353,35,1,0,M,0,98514,автомобиль,C,операции с автомобилем
256,сотрудник,0,3349.394580597705,56,1,1,M,0,167186,сыграть свадьбу,C,проведение свадьбы
257,сотрудник,0,2430.731755398381,28,0,3,F,1,336924,ремонт жилью,B,операции с недвижимостью
258,пенсионер,0,2194.220566878695,57,1,0,F,1,118514,покупка жилья для сдачи,C,операции с недвижимостью
259,сотрудник,0,311.8022799475972,59,1,4,M,0,147140,строительство собственной недвижимости,C,операции с недвижимостью
260,сотрудник,0,4449.990621186047,50,1,0,F,0,80359,покупка жилья для семьи,C,операции с недвижимостью
261,пенсионер,0,354865.893195964,58,1,4,F,1,144468,жилье,C,операции с недвижимостью
262,сотрудник,0,8626.77723400335,39,1,3,F,0,1240165,покупка недвижимости,A,операции с недвижимостью
263,компаньон,0,5745.148863609463,50,1,0,F,0,304805,на покупку своего автомобиля,B,операции с автомобилем
264,компаньон,0,2194.220566878695,35,0,0,F,0,172357,заняться образованием,C,получение образования
265,сотрудник,0,2194.220566878695,54,1,0,F,0,142594,жилье,C,операции с недвижимостью
266,пенсионер,0,2194.220566878695,58,1,0,M,1,118514,заняться высшим образованием,C,получение образования
267,пенсионер,0,388019.22303508327,63,1,4,F,0,73217,недвижимость,C,операции с недвижимостью
268,компаньон,2,1801.5127435801853,38,0,0,F,0,175059,получение образования,C,получение образования
269,госслужащий,0,6281.886110775923,65,1,0,M,0,211352,покупка коммерческой недвижимости,B,операции с недвижимостью
270,пенсионер,0,377209.32186444337,64,0,4,M,0,191292,строительство недвижимости,C,операции с недвижимостью
271,сотрудник,0,1174.163607905704,62,1,1,M,0,136263,операции с жильем,C,операции с недвижимостью
272,сотрудник,0,1133.7915775036845,48,1,1,F,0,62916,свадьба,C,проведение свадьбы
273,компаньон,0,72.95782045845813,29,2,0,F,0,129867,получение дополнительного образования,C,получение образования
